columna,cobertura,identidad,entropia
0,0.8756,0.5399,1.3152
1,0.8781,0.8946,0.5926
2,0.8781,0.9896,0.0880
3,0.8781,0.9439,0.3917
4,0.8781,0.9877,0.1095
5,0.8781,0.9987,0.0171
6,0.8781,0.9230,0.4034
7,0.8781,0.9908,0.0794
8,0.8781,0.9961,0.0416
9,0.8782,0.8194,0.7029
10,0.8813,0.9800,0.1721
11,0.8814,0.9987,0.0170
12,0.8790,0.9783,0.1700
13,0.8791,0.9903,0.0838
14,0.8717,0.9985,0.0186
15,0.8718,0.9520,0.3350
16,0.8756,0.9989,0.0146
17,0.8756,0.9991,0.0109
18,0.8756,0.7922,0.7495
19,0.8786,0.9985,0.0182
20,0.8786,0.9988,0.0145
21,0.8811,0.9547,0.2791
22,0.8812,0.6646,0.9349
23,0.8812,0.9988,0.0141
24,0.8811,0.3955,1.7363
25,0.8811,0.5781,1.0006
26,0.8886,0.9970,0.0352
27,0.8887,0.5266,1.6888
28,0.8887,0.9897,0.0931
29,0.8887,0.9954,0.0469
30,0.8887,0.4769,1.6742
31,0.8887,0.9961,0.0408
32,0.8888,0.9877,0.1087
33,0.8888,0.4143,1.6407
34,0.8888,0.9983,0.0210
35,0.8889,0.9884,0.0987
36,0.8889,0.5141,1.4110
37,0.8894,0.6124,1.3744
38,0.8894,0.9875,0.1113
39,0.8895,0.5418,1.5027
40,0.8895,0.5810,1.2385
41,0.8898,0.5766,1.2922
42,0.8898,0.5272,1.5327
43,0.8898,0.5343,1.1837
44,0.8898,0.9967,0.0361
45,0.8898,0.5321,1.5024
46,0.8926,0.5406,1.1082
47,0.8930,0.9965,0.0361
48,0.8929,0.6927,1.1611
49,0.8929,0.5515,1.4640
50,0.8941,0.8457,0.6501
51,0.8941,0.5077,1.5270
52,0.8941,0.5383,1.4684
53,0.8917,0.8752,0.6311
54,0.8917,0.7286,1.0957
55,0.8917,0.8659,0.5836
56,0.8917,0.9955,0.0507
57,0.8918,0.8315,0.8315
58,0.8919,0.9848,0.1268
59,0.8919,0.5429,1.1716
60,0.8920,0.4932,1.4286
61,0.8920,0.9316,0.4473
62,0.8921,0.9862,0.1224
63,0.8921,0.7522,1.0689
64,0.8919,0.8287,0.8809
65,0.8919,0.9072,0.5253
66,0.8919,0.7336,1.1367
67,0.8931,0.7510,1.0739
68,0.8931,0.7173,1.1874
69,0.8931,0.6759,1.3807
70,0.8941,0.4731,1.6265
71,0.8941,0.4867,1.6292
72,0.8965,0.4286,1.6659
73,0.8965,0.9884,0.0957
74,0.8965,0.9901,0.0876
75,0.8966,0.5700,1.6205
76,0.8966,0.7106,1.1899
77,0.8966,0.6516,1.0564
78,0.8983,0.5325,1.6081
79,0.8983,0.9904,0.0820
80,0.8983,0.9961,0.0415
81,0.8983,0.6422,1.4857
